ID,¿Cuál es su rango de edad actual?,Nivel de estudios de los padres,¿Entre qué rango se encontró su promedio ponderado de postulación a la Universidad?,Sus estudios de enseñanza media fueron realizados en...,Sus estudios de pregrado los realizó en ...,Carrera,Año de egreso,Año de titulación,Ciudad en la que reside actualmente,¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Chile],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad Católica],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Santiago],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Concepción],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Talca],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Inacap],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad Católica de Valparaíso],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad Adolfo Ibáñez],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Duoc UC],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Valparaíso],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad del Bío Bío],En la actualidad ¿Se encuentra trabajando?,Si no está trabajando ¿Cuál es el motivo?,Si se encuentra en un programa de continuidad de estudios ¿Qué motivó su continuación de estudios?,Tamaño de la empresa donde trabaja,¿Cuál es su cargo actual?,Tiempo en la empresa,Situación contractual,Rango de sueldo líquido,¿En qué Sector trabaja?,Considera que su trabajo es acorde a su especialidad,¿Cuánto tiempo se demoró en encontrar trabajo?,Considera que su remuneración actual es acorde a su preparación profesional,¿Cómo evalúa el nivel de cumplimiento de las expectativas que tenía al egresar  respecto de su situación actual?,¿Cursa estudios de postgrado?,¿Qué tan de acuerdo estaría que su hijo estudie en la USM?,Tiene pensado hacer cursos de postgrado (si ya hizo uno ¿hacer otro?),Si está interesado le gustaría hacerlo en la UTFSM,¿Algunos de sus padres estudió en la USM?,¿Tiene algún otro pariente que sea exalumno de la USM?,¿Qué tan satisfecho se encuentra con el proceso formativo de su carrera?,¿Qué tan satisfecho se encuentra con la infraestructura de tu Sede o Campus?,¿Qué tan satisfecho se encuentra con la experiencia universitaria vivida?,La UTFSM es una Universidad de prestigio [La UTFSM es una Universidad de prestigio],La UTFSM es una Universidad de prestigio [La UTFSM es una Universidad sólida en términos de la formación que entrega],La UTFSM es una Universidad de prestigio [De la UTFSM egresan profesionales con una base técnica],La UTFSM es una Universidad de prestigio [La UTFSM se caracteriza por la exigencia en sus planes de estudio],La UTFSM es una Universidad de prestigio [La UTFSM se caracteriza por ser una Universidad de punta en carreras tecnológicas],La UTFSM es una Universidad de prestigio [La UTFSM se caracteriza por su calidad docente],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de Adaptación],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de Compromiso],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Empatía],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Productividad],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Autocuidado],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Tolerancia a la frustración],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Liderazgo],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Comunicación efectiva],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de delegar],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de negociación],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Planificación],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de gestionar],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de Trabajar en equipo],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Actualización del conocimiento (Busca constantemente tener los conocimientos más actuales para desarrollarse adecuadamente en su que hacer)],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Relaciones públicas],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Pensamiento Analítico],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Manejo de tecnologías],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Dominio de inglés escrito],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Dominio de inglés hablado],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Dinamismo y energía],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Orientación al cliente externo e interno]
1,25 - 29 años,Enseñanza Media completa,601 - 700,Colegio / Liceo Particular subvencionado - Científico Humanista,Casa Central,Ingeniería Comercial,2010,2011,Quilpué,Imagen Universidad,Buen nivel de alumnos,Calidad educación,Imagen Universidad,No opino,Perfil Técnico / Tecnológico,Calidad educación,Calidad educación,Perfil Técnico / Tecnológico,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Coordinador,Entre 6 meses y un año,Contrato a plazo indefinido,$500.001 - $750.000,Educación,Si,Menos de 3 meses,No,Cumplidas,No,Muy de acuerdo,Si,Si,No,No,7,7,7,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Indiferente,Desacuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Desacuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Indiferente,De Acuerdo,Indiferente,De Acuerdo,Muy de Acuerdo,Indiferente
2,20 - 24 años,Enseñanza Media completa,701 - 750,Colegio / Liceo Particular subvencionado - Científico Humanista,Casa Central,Ingeniería Civil Industrial,2011,2011,Villa Alemana,Perfil Técnico / Tecnológico,Calidad educación,No opino,Imagen Universidad,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,Para certificar conocimientos que ya he adquirido en la práctica,Gran Empresa (Más de 200 trabajadores),Desarrollador,Menos de 6 meses,Trabajo en diversos proyectos,$1.500.001 - $2.000.000,Otro,Si,Menos de 3 meses,Si,Muy cumplidas,No,Desacuerdo,Si,No,No,No,6,6,7,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De Acuerdo,Indiferente,Indiferente,De Acuerdo,De Acuerdo,Muy de Acuerdo,Indiferente,Indiferente,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente,Indiferente,Muy en Desacuerdo,Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Indiferente,Indiferente
3,25 - 29 años,Estudios Superiores Completos,701 - 750,Colegio / Liceo Municipal - Científico Humanista,Casa Central,Ingeniería Civil Telemática,2010,2011,Santiago,Buen nivel de alumnos,Buen nivel de alumnos,No opino,Perfil Técnico / Tecnológico,No opino,No opino,Imagen Universidad,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Ingeniero,Entre 6 meses y un año,Profesional a honorarios,$1.000.001 - $1.250.000,Transporte y Telecomunicaciones,Si,Menos de 3 meses,Si,Cumplidas,No,Muy de acuerdo,Si,Si,No,No,6,5,7,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo
4,25 - 29 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Municipal - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2010,2011,Santiago,Calidad educación,Imagen Universidad,No opino,No opino,No opino,Perfil Técnico / Tecnológico,No opino,Imagen Universidad,Perfil Técnico / Tecnológico,No opino,No opino,Si,,,Microempresa (hasta 9 trabajadores),Líder del proyecto,Entre 6 meses y un año,Profesional a honorarios,$500.001 - $750.000,Otro,Si,Menos de 3 meses,No,Cumplidas,No,Muy de acuerdo,Si,No,No,No,6,3,5,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy de Acuerdo,Muy en Desacuerdo,Indiferente
5,25 - 29 años,Enseñanza Básica,601 - 700,Colegio / Liceo Municipal - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2011,2011,Santiago,Buen nivel de alumnos,Buen nivel de alumnos,Perfil Técnico / Tecnológico,Imagen Universidad,No opino,No opino,No opino,Buen nivel de alumnos,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Ingeniero,Entre 6 meses y un año,Contrato a plazo indefinido,$1.000.001 - $1.250.000,Transporte y Telecomunicaciones,Si,Más de un año,No,Poco cumplidas,No,Muy en Desacuerdo,Si,Si,No,No,6,6,7,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De Acuerdo,Muy de Acuerdo,Indiferente,Muy de Acuerdo,Desacuerdo,Muy de Acuerdo,Indiferente,De Acuerdo,Desacuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo
6,25 - 29 años,Estudios Superiores Completos,701 - 750,Colegio / Liceo Particular - Científico Humanista,Casa Central,Ingeniería Civil Industrial,2010,2011,Viña del Mar,Calidad educación,Calidad educación,Perfil Técnico / Tecnológico,Calidad educación,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Asesor,Entre uno y 3 años,Contrato a plazo indefinido,$750.001 - $1.000.000,Educación,Si,Menos de 3 meses,Si,Muy cumplidas,No,Muy de acuerdo,Si,No,No,Si,7,7,7,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Muy en Desacuerdo,Muy en Desacuerdo,Muy de Acuerdo,De Acuerdo
7,25 - 29 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Particular - Científico Humanista,Casa Central,Ingeniería Civil Informática,2008,2011,Santiago,Buen nivel de alumnos,No opino,Perfil Técnico / Tecnológico,Imagen Universidad,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Analista,Menos de 6 meses,Contrato a plazo indefinido,$1.250.001 - $1.500.000,Otro,Si,Menos de 3 meses,Si,Muy cumplidas,No,De acuerdo,Si,No,No,No,5,5,7,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Muy de Acuerdo,Indiferente,De Acuerdo,De Acuerdo,Indiferente,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Muy de Acuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo
8,30 - 34 años,Técnico Nivel Medio,Ingreso especial,Colegio / Liceo Particular - Científico Humanista,Casa Central,Ingeniería Civil Industrial,2007,2007,Santiago,Buen nivel de alumnos,Buen nivel de alumnos,Imagen Universidad,Imagen Universidad,No opino,No opino,Imagen Universidad,Imagen Universidad,No opino,Imagen Universidad,Imagen Universidad,Si,,,Gran Empresa (Más de 200 trabajadores),Ejecutivo Senior,Entre 6 meses y un año,Contrato a plazo indefinido,$2.500.001 - $3.000.000,Retail,Si,Menos de 3 meses,Si,Cumplidas,No,De acuerdo,Si,No,No,No,6,5,6,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo
9,40 o más,Estudios Superiores incompletos,Ingreso especial,Colegio / Liceo Particular subvencionado - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2008,2007,Santiago,Calidad educación,Calidad educación,Calidad educación,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Gerente,Más de 5 años,Contrato a plazo indefinido,$1.500.001 - $2.000.000,Otro,Si,Menos de 3 meses,No,Muy cumplidas,No,Muy de acuerdo,Si,Si,No,No,6,6,6,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo
10,35 - 39 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Municipal - Científico Humanista,Casa Central,Ingeniería Civil Industrial,2006,2007,Santiago,Calidad educación,Buen nivel de alumnos,Calidad educación,Calidad educación,No opino,No opino,No opino,Imagen Universidad,No opino,No opino,No opino,Si,,Perfeccionamiento,,,,,,,,,,Cumplidas,No,De acuerdo,Si,Si,No,No,6,7,6,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Indiferente,Indiferente,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo
